cd_municipio;pais;pagina;numero;votos;pct_impresso
29009;PAISES BAIXOS;21;15;4;0.97
29009;PAISES BAIXOS;21;11;3;0.73
29009;PAISES BAIXOS;21;36;3;0.73
29009;PAISES BAIXOS;21;56;3;0.73
29017;PORTO RICO;23;95;0;
29017;PORTO RICO;23;96;0;
29017;PORTO RICO;23;45;35;72.92
29017;PORTO RICO;23;13;10;20.83
29017;PORTO RICO;23;12;3;6.25
29025;HONG KONG;16;95;1;
29025;HONG KONG;16;96;1;
29025;HONG KONG;16;45;52;77.61
29025;HONG KONG;16;13;8;11.94
29025;HONG KONG;16;15;4;5.97
29025;HONG KONG;16;36;2;2.99
29025;HONG KONG;16;20;1;1.49
29033;IRLANDA;17;95;0;
29033;IRLANDA;17;96;0;
29033;IRLANDA;17;13;22;66.67
29033;IRLANDA;17;45;10;30.30
29033;IRLANDA;17;56;1;3.03
29076;HONDURAS;15;95;0;
29076;HONDURAS;15;96;4;
29076;HONDURAS;15;45;34;60.71
29076;HONDURAS;15;13;15;26.79
29076;HONDURAS;15;11;5;8.93
29076;HONDURAS;15;15;1;1.79
29076;HONDURAS;15;56;1;1.79
29114;MOCAMBIQUE;20;95;0;
29114;MOCAMBIQUE;20;96;6;
29114;MOCAMBIQUE;20;45;87;62.14
29114;MOCAMBIQUE;20;13;37;26.43
29114;MOCAMBIQUE;20;56;9;6.43
29114;MOCAMBIQUE;20;12;4;2.86
29114;MOCAMBIQUE;20;11;3;2.14
29122;MARROCOS;19;95;1;
29122;MARROCOS;19;96;2;
29122;MARROCOS;19;45;22;100.00
29130;MALASIA;19;95;0;
29130;MALASIA;19;96;5;
29130;MALASIA;19;45;20;64.52
29130;MALASIA;19;13;6;19.35
29130;MALASIA;19;56;3;9.68
29130;MALASIA;19;11;2;6.45
29181;JORDANIA;18;95;0;
29181;JORDANIA;18;96;1;
29181;JORDANIA;18;45;42;62.69
29181;JORDANIA;18;12;9;13.43
29181;JORDANIA;18;13;7;10.45
29181;JORDANIA;18;36;5;7.46
29181;JORDANIA;18;11;3;4.48
29181;JORDANIA;18;56;1;1.49
29238;HUNGRIA;16;95;0;
29238;HUNGRIA;16;96;1;
29238;HUNGRIA;16;45;20;66.67
29238;HUNGRIA;16;13;9;30.00
29238;HUNGRIA;16;12;1;3.33
