UF,Ano,CD_Municipio,Municipio,Zona,Tipo_Problema,Detalhe,Votos_Afetados,Pct_Votos_Municipio
MT,2000,90263,APIACÁS,24,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: ALTA FLORESTA, CARLINDA, PARANAÍTA",3256,100.0
MT,2000,90271,ARIPUANÃ,35,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: CASTANHEIRA, JUÍNA, RONDOLÂNDIA",5451,100.0
MT,2000,90905,BOM JESUS DO ARAGUAIA,15,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: ALTO BOA VISTA, LUCIARA, NOVO SANTO ANTÔNIO, SÃO FÉLIX DO ARAGUAIA",1559,100.0
MT,2000,90468,BRASNORTE,60,ZONA_EM_OUTRO_MUNICIPIO_2006,Zona vinculada em 2006 a: CAMPO NOVO DO PARECIS,5271,100.0
MT,2000,90085,CANABRAVA DO NORTE,15,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: ALTO BOA VISTA, LUCIARA, NOVO SANTO ANTÔNIO, SÃO FÉLIX DO ARAGUAIA",2438,100.0
MT,2000,89788,COLNIZA,35,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: CASTANHEIRA, JUÍNA, RONDOLÂNDIA",4121,100.0
MT,2000,90280,CONFRESA,15,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: ALTO BOA VISTA, LUCIARA, NOVO SANTO ANTÔNIO, SÃO FÉLIX DO ARAGUAIA",8581,100.0
MT,2000,90425,COTRIGUAÇU,35,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: CASTANHEIRA, JUÍNA, RONDOLÂNDIA",3597,100.0
MT,2000,90670,CUIABÁ,38,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: BARÃO DE MELGAÇO, SANTO ANTÔNIO DO LEVERGER",18502,7.08
MT,2000,90670,CUIABÁ,48,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: COTRIGUAÇU, JURUENA",22800,8.72
MT,2000,90670,CUIABÁ,50,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: APIACÁS, NOVA BANDEIRANTES, NOVA MONTE VERDE",26040,9.96
MT,2000,90670,CUIABÁ,53,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: BOM JESUS DO ARAGUAIA, RIBEIRÃO CASCALHEIRA, SERRA NOVA DOURADA",17053,6.52
MT,2000,90670,CUIABÁ,56,ZONA_EM_OUTRO_MUNICIPIO_2006,Zona vinculada em 2006 a: BRASNORTE,15176,5.8
MT,2000,89800,CURVELÂNDIA,52,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: LAMBARI D OESTE, RIO BRANCO, SALTO DO CÉU",3125,100.0
MT,2000,90476,CÁCERES,52,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: LAMBARI D OESTE, RIO BRANCO, SALTO DO CÉU",14059,35.0
MT,2000,99058,GUARANTÃ DO NORTE,33,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: MATUPÁ, NOVA GUARITA, PEIXOTO DE AZEVEDO, TERRA NOVA DO NORTE",12214,100.0
MT,2000,90581,JURUENA,35,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: CASTANHEIRA, JUÍNA, RONDOLÂNDIA",2754,100.0
MT,2000,90603,LUCAS DO RIO VERDE,43,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: NOVA UBIRATÃ, SORRISO",10697,100.0
MT,2000,91170,NOBRES,28,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: CANABRAVA DO NORTE, CONFRESA, PORTO ALEGRE DO NORTE",8981,100.0
MT,2000,91197,NORTELÂNDIA,16,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: SANTA CRUZ DO XINGU, SANTA TEREZINHA, SÃO JOSÉ DO XINGU, VILA RICA",5183,100.0
MT,2000,90387,NOVA BANDEIRANTE,24,MUNICIPIO_INEXISTENTE_2006,Municipio nao encontrado na base 2006 (nome/criacao),3399,100.0
MT,2000,90360,NOVA MONTE VERDE,24,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: ALTA FLORESTA, CARLINDA, PARANAÍTA",3728,100.0
