ibge,municipio,ano,zona,local,nome,bairro,endereco,lon_antigo,lat_antigo,lon_novo,lat_novo,km,metodo,confianca,evidencia,motivo
2933307,Vitória da Conquista,2024,40,1783,CENTRO EDUCACIONAL MUNICIPAL EURÍPEDES PERI ROSA,DISTRITO BATE-PÉ,POVOADO BATE-PÉ - ZONA RURAL,-40.8206516,-14.8703094,-41.126868,-14.86794,32.95,estabelecimento,alta,CENTRO EDUCACIONAL EURIPEDES PERI ROSA [BATE PE] | distrito Bate-Pé,pilha de 14 locais em 50 m (14 localidades rurais distintas)
2933307,Vitória da Conquista,2006,40,1791,ESCOLA MUNICIPAL OLÍMPIO JOSÉ DIAS,DISTRITO BATE-PÉ,POVOADO POÇO COMPRIDO - ZONA RURAL,-41.1205508,-14.8221163,-41.127493,-14.847271,2.9,localidade,media,"localidade POCO COMPRIDO 2 (52 enderecos, raio 0.8 km) | distrito Bate-Pé",fora do municipio (1.9 km alem da divisa)
2933307,Vitória da Conquista,2008,40,1791,ESCOLA MUNICIPAL OLÍMPIO JOSÉ DIAS,DISTRITO BATE-PÉ,POVOADO POÇO COMPRIDO - ZONA RURAL,-41.1205508,-14.8221163,-41.127493,-14.847271,2.9,localidade,media,"localidade POCO COMPRIDO 2 (52 enderecos, raio 0.8 km) | distrito Bate-Pé",fora do municipio (1.9 km alem da divisa)
2933307,Vitória da Conquista,2010,40,1791,ESCOLA MUNICIPAL OLÍMPIO JOSÉ DIAS,DISTRITO BATE-PÉ,POVOADO POÇO COMPRIDO - ZONA RURAL,-41.1205508,-14.8221163,-41.127493,-14.847271,2.9,localidade,media,"localidade POCO COMPRIDO 2 (52 enderecos, raio 0.8 km) | distrito Bate-Pé",fora do municipio (1.9 km alem da divisa)
2933307,Vitória da Conquista,2012,40,1791,ESCOLA MUNICIPAL OLÍMPIO JOSÉ DIAS,DISTRITO BATE-PÉ,POVOADO POÇO COMPRIDO - ZONA RURAL,-41.1205508,-14.8221163,-41.127493,-14.847271,2.9,localidade,media,"localidade POCO COMPRIDO 2 (52 enderecos, raio 0.8 km) | distrito Bate-Pé",fora do municipio (1.9 km alem da divisa)
2933307,Vitória da Conquista,2014,40,1791,ESCOLA MUNICIPAL OLÍMPIO JOSÉ DIAS,DISTRITO BATE-PÉ,POVOADO POÇO COMPRIDO - ZONA RURAL,-41.1205508,-14.8221163,-41.127493,-14.847271,2.9,localidade,media,"localidade POCO COMPRIDO 2 (52 enderecos, raio 0.8 km) | distrito Bate-Pé",fora do municipio (1.9 km alem da divisa)
2933307,Vitória da Conquista,2016,40,1791,ESCOLA MUNICIPAL OLÍMPIO JOSÉ DIAS,DISTRITO BATE-PÉ,POVOADO POÇO COMPRIDO - ZONA RURAL,-41.1205508,-14.8221163,-41.127493,-14.847271,2.9,localidade,media,"localidade POCO COMPRIDO 2 (52 enderecos, raio 0.8 km) | distrito Bate-Pé",fora do municipio (1.9 km alem da divisa)
2933307,Vitória da Conquista,2018,40,1791,ESCOLA MUNICIPAL OLÍMPIO JOSÉ DIAS,DISTRITO BATE-PÉ,POVOADO POÇO COMPRIDO - ZONA RURAL,-41.1205508,-14.8221163,-41.127493,-14.847271,2.9,localidade,media,"localidade POCO COMPRIDO 2 (52 enderecos, raio 0.8 km) | distrito Bate-Pé",fora do municipio (1.9 km alem da divisa)
2933307,Vitória da Conquista,2020,40,1791,ESCOLA MUNICIPAL OLÍMPIO JOSÉ DIAS,DISTRITO BATE-PÉ,POVOADO POÇO COMPRIDO - ZONA RURAL,-41.1205508,-14.8221163,-41.127493,-14.847271,2.9,localidade,media,"localidade POCO COMPRIDO 2 (52 enderecos, raio 0.8 km) | distrito Bate-Pé",fora do municipio (1.9 km alem da divisa)
2933307,Vitória da Conquista,2022,40,1791,ESCOLA MUNICIPAL OLÍMPIO JOSÉ DIAS,DISTRITO BATE-PÉ,POVOADO POÇO COMPRIDO - ZONA RURAL,-41.1205508,-14.8221163,-41.127493,-14.847271,2.9,localidade,media,"localidade POCO COMPRIDO 2 (52 enderecos, raio 0.8 km) | distrito Bate-Pé",fora do municipio (1.9 km alem da divisa)
